rank,stock_code,stock_name,score
1,002837,英维克,1.72
2,601117,中国化学,1.5149
3,600118,中国卫星,1.4911
4,600515,海南机场,1.3097
5,300502,新易盛,1.2698
6,600460,士兰微,1.2486
7,600061,国投安信,1.1531
8,301308,江波龙,1.1526
9,300628,亿联网络,1.1152
10,600549,厦门钨业,1.0771
11,600584,长电科技,1.077
12,000657,中钨高新,1.0655
13,301236,软通动力,1.0538
14,300033,同花顺,1.0217
15,688521,芯原股份,1.0128
16,603893,瑞芯微,1.0075
17,300413,芒果超媒,0.9924
18,301165,锐捷网络,0.9588
19,002709,天赐材料,0.9586
20,601058,赛轮轮胎,0.9555
21,300394,天孚通信,0.9351
22,300832,新产业,0.9242
23,000999,华润三九,0.9187
24,601878,浙商证券,0.8819
25,002532,天山铝业,0.8789
26,300308,中际旭创,0.8703
27,300661,圣邦股份,0.8695
28,601021,春秋航空,0.8463
29,601838,成都银行,0.8305
30,601077,渝农商行,0.8206
